Visitor/Neutral,Home/Neutral
Miami Heat,Dallas Mavericks
Los Angeles Clippers,Golden State Warriors
Chicago Bulls,Los Angeles Lakers
Boston Celtics,New York Knicks
Orlando Magic,Oklahoma City Thunder
Milwaukee Bucks,Charlotte Hornets
Toronto Raptors,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Chicago Bulls,Golden State Warriors
Detroit Pistons,Indiana Pacers
Oklahoma City Thunder,Minnesota Timberwolves
Houston Rockets,Orlando Magic
New Orleans Pelicans,Phoenix Suns
Philadelphia 76ers,Portland Trail Blazers
Los Angeles Lakers,Sacramento Kings
Memphis Grizzlies,San Antonio Spurs
Brooklyn Nets,Washington Wizards
Utah Jazz,Los Angeles Lakers
Boston Celtics,Miami Heat
Minnesota Timberwolves,Milwaukee Bucks
Atlanta Hawks,Brooklyn Nets
Sacramento Kings,Portland Trail Blazers
Washington Wizards,Atlanta Hawks
Miami Heat,Charlotte Hornets
Utah Jazz,Denver Nuggets
Cleveland Cavaliers,Detroit Pistons
New York Knicks,Golden State Warriors
Oklahoma City Thunder,Memphis Grizzlies
Boston Celtics,New Orleans Pelicans
Philadelphia 76ers,Phoenix Suns
Los Angeles Clippers,San Antonio Spurs
Indiana Pacers,Toronto Raptors
San Antonio Spurs,Houston Rockets
New York Knicks,Los Angeles Lakers
Dallas Mavericks,Oklahoma City Thunder
Brooklyn Nets,Orlando Magic
Denver Nuggets,Portland Trail Blazers
Chicago Bulls,Sacramento Kings
Brooklyn Nets,Atlanta Hawks
Detroit Pistons,Boston Celtics
Orlando Magic,Charlotte Hornets
Toronto Raptors,Dallas Mavericks
Cleveland Cavaliers,Indiana Pacers
Chicago Bulls,Los Angeles Clippers
Houston Rockets,Memphis Grizzlies
Washington Wizards,Milwaukee Bucks
Miami Heat,Minnesota Timberwolves
Phoenix Suns,New Orleans Pelicans
Philadelphia 76ers,Utah Jazz
Indiana Pacers,Detroit Pistons
Philadelphia 76ers,Golden State Warriors
Atlanta Hawks,Houston Rockets
Denver Nuggets,Los Angeles Lakers
Phoenix Suns,Oklahoma City Thunder
New York Knicks,Sacramento Kings
Utah Jazz,San Antonio Spurs
Memphis Grizzlies,Chicago Bulls
Brooklyn Nets,Cleveland Cavaliers
Los Angeles Lakers,Denver Nuggets
Portland Trail Blazers,Los Angeles Clippers
Charlotte Hornets,Miami Heat
Dallas Mavericks,Minnesota Timberwolves
Toronto Raptors,Orlando Magic
New Orleans Pelicans,Sacramento Kings
Boston Celtics,Washington Wizards
Washington Wizards,Boston Celtics
Oklahoma City Thunder,Dallas Mavericks
Milwaukee Bucks,Denver Nuggets
Orlando Magic,Detroit Pistons
Atlanta Hawks,Miami Heat
San Antonio Spurs,Minnesota Timberwolves
Indiana Pacers,Brooklyn Nets
Toronto Raptors,New York Knicks
Golden State Warriors,Phoenix Suns
New Orleans Pelicans,Utah Jazz
Atlanta Hawks,Chicago Bulls
Charlotte Hornets,Cleveland Cavaliers
Houston Rockets,Los Angeles Lakers
Sacramento Kings,Memphis Grizzlies
Portland Trail Blazers,Oklahoma City Thunder
Milwaukee Bucks,Utah Jazz
Brooklyn Nets,Boston Celtics
Phoenix Suns,Dallas Mavericks
Sacramento Kings,Denver Nuggets
Chicago Bulls,Detroit Pistons
Houston Rockets,Los Angeles Clippers
Indiana Pacers,Miami Heat
Memphis Grizzlies,Minnesota Timberwolves
Philadelphia 76ers,New Orleans Pelicans
Charlotte Hornets,New York Knicks
Washington Wizards,Orlando Magic
Golden State Warriors,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Miami Heat,Atlanta Hawks
Los Angeles Lakers,Portland Trail Blazers
Milwaukee Bucks,Sacramento Kings
Dallas Mavericks,San Antonio Spurs
Indiana Pacers,Boston Celtics
Atlanta Hawks,Charlotte Hornets
Golden State Warriors,Los Angeles Lakers
Cleveland Cavaliers,Minnesota Timberwolves
Denver Nuggets,New Orleans Pelicans
Houston Rockets,Oklahoma City Thunder
Chicago Bulls,Orlando Magic
Detroit Pistons,Philadelphia 76ers
Portland Trail Blazers,Phoenix Suns
Brooklyn Nets,Toronto Raptors
Memphis Grizzlies,Utah Jazz
New York Knicks,Washington Wizards
Chicago Bulls,Atlanta Hawks
New Orleans Pelicans,Dallas Mavericks
New York Knicks,Detroit Pistons
Utah Jazz,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Charlotte Hornets,Indiana Pacers
Milwaukee Bucks,Los Angeles Clippers
Miami Heat,Brooklyn Nets
Toronto Raptors,Philadelphia 76ers
Denver Nuggets,San Antonio Spurs
Memphis Grizzlies,Los Angeles Lakers
San Antonio Spurs,Oklahoma City Thunder
Milwaukee Bucks,Phoenix Suns
Cleveland Cavaliers,Portland Trail Blazers
Orlando Magic,Sacramento Kings
Minnesota Timberwolves,Washington Wizards
Detroit Pistons,Chicago Bulls
New Orleans Pelicans,Denver Nuggets
Atlanta Hawks,Brooklyn Nets
Charlotte Hornets,New York Knicks
Indiana Pacers,Philadelphia 76ers
Minnesota Timberwolves,Toronto Raptors
Houston Rockets,Charlotte Hornets
Dallas Mavericks,Detroit Pistons
Miami Heat,Golden State Warriors
Phoenix Suns,Los Angeles Lakers
Oklahoma City Thunder,Memphis Grizzlies
San Antonio Spurs,Milwaukee Bucks
Chicago Bulls,Minnesota Timberwolves
Sacramento Kings,Philadelphia 76ers
Los Angeles Clippers,Portland Trail Blazers
Cleveland Cavaliers,Utah Jazz
Toronto Raptors,Washington Wizards
Dallas Mavericks,Boston Celtics
Washington Wizards,Chicago Bulls
Brooklyn Nets,Denver Nuggets
Atlanta Hawks,Indiana Pacers
Miami Heat,Los Angeles Clippers
Oklahoma City Thunder,New Orleans Pelicans
Philadelphia 76ers,New York Knicks
Orlando Magic,Portland Trail Blazers
Houston Rockets,San Antonio Spurs
Sacramento Kings,Toronto Raptors
Los Angeles Lakers,Utah Jazz
Charlotte Hornets,Atlanta Hawks
Orlando Magic,Golden State Warriors
New York Knicks,Memphis Grizzlies
Detroit Pistons,Milwaukee Bucks
Cleveland Cavaliers,Phoenix Suns
Chicago Bulls,Boston Celtics
Detroit Pistons,Charlotte Hornets
Milwaukee Bucks,Dallas Mavericks
Miami Heat,Denver Nuggets
Sacramento Kings,Houston Rockets
Cleveland Cavaliers,Los Angeles Lakers
Minnesota Timberwolves,New Orleans Pelicans
Washington Wizards,Philadelphia 76ers
Brooklyn Nets,Phoenix Suns
Portland Trail Blazers,San Antonio Spurs
Indiana Pacers,Toronto Raptors
Minnesota Timberwolves,Atlanta Hawks
Golden State Warriors,Charlotte Hornets
Toronto Raptors,Chicago Bulls
Sacramento Kings,Dallas Mavericks
Portland Trail Blazers,Houston Rockets
Boston Celtics,Indiana Pacers
Los Angeles Lakers,Los Angeles Clippers
New Orleans Pelicans,Memphis Grizzlies
New York Knicks,Oklahoma City Thunder
Brooklyn Nets,Utah Jazz
Philadelphia 76ers,Washington Wizards
Utah Jazz,Denver Nuggets
Golden State Warriors,Detroit Pistons
Phoenix Suns,San Antonio Spurs
Toronto Raptors,Atlanta Hawks
Oklahoma City Thunder,Boston Celtics
Cleveland Cavaliers,Charlotte Hornets
Brooklyn Nets,Los Angeles Clippers
Dallas Mavericks,Los Angeles Lakers
Chicago Bulls,Memphis Grizzlies
Sacramento Kings,Minnesota Timberwolves
Portland Trail Blazers,New Orleans Pelicans
Orlando Magic,New York Knicks
Milwaukee Bucks,Philadelphia 76ers
Houston Rockets,Washington Wizards
Phoenix Suns,Chicago Bulls
Golden State Warriors,Cleveland Cavaliers
Detroit Pistons,Houston Rockets
San Antonio Spurs,Miami Heat
Denver Nuggets,Milwaukee Bucks
Charlotte Hornets,Orlando Magic
Los Angeles Clippers,Utah Jazz
Portland Trail Blazers,Atlanta Hawks
Toronto Raptors,Boston Celtics
Dallas Mavericks,Los Angeles Clippers
Detroit Pistons,Minnesota Timberwolves
Golden State Warriors,Brooklyn Nets
Memphis Grizzlies,New Orleans Pelicans
Phoenix Suns,New York Knicks
San Antonio Spurs,Orlando Magic
Denver Nuggets,Philadelphia 76ers
Indiana Pacers,Sacramento Kings
Oklahoma City Thunder,Washington Wizards
New Orleans Pelicans,Houston Rockets
Los Angeles Lakers,Miami Heat
Dallas Mavericks,Utah Jazz
Phoenix Suns,Boston Celtics
Chicago Bulls,Cleveland Cavaliers
Memphis Grizzlies,Detroit Pistons
Indiana Pacers,Golden State Warriors
Minnesota Timberwolves,Los Angeles Clippers
Milwaukee Bucks,New York Knicks
Los Angeles Lakers,Orlando Magic
Atlanta Hawks,Philadelphia 76ers
Sacramento Kings,San Antonio Spurs
Portland Trail Blazers,Toronto Raptors
Denver Nuggets,Washington Wizards
Cleveland Cavaliers,Atlanta Hawks
Charlotte Hornets,Chicago Bulls
Portland Trail Blazers,Detroit Pistons
San Antonio Spurs,Houston Rockets
Sacramento Kings,Memphis Grizzlies
Philadelphia 76ers,Miami Heat
Oklahoma City Thunder,Brooklyn Nets
Dallas Mavericks,New Orleans Pelicans
Denver Nuggets,New York Knicks
Minnesota Timberwolves,Utah Jazz
Toronto Raptors,Los Angeles Clippers
Indiana Pacers,Los Angeles Lakers
Milwaukee Bucks,Miami Heat
Charlotte Hornets,Brooklyn Nets
Boston Celtics,Washington Wizards
Orlando Magic,Boston Celtics
Brooklyn Nets,Chicago Bulls
Phoenix Suns,Dallas Mavericks
Memphis Grizzlies,Golden State Warriors
Atlanta Hawks,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves
San Antonio Spurs,New Orleans Pelicans
Detroit Pistons,Oklahoma City Thunder
Washington Wizards,Philadelphia 76ers
Sacramento Kings,Portland Trail Blazers
New York Knicks,Charlotte Hornets
Orlando Magic,Indiana Pacers
Cleveland Cavaliers,Miami Heat
Toronto Raptors,Phoenix Suns
Memphis Grizzlies,Portland Trail Blazers
Indiana Pacers,Chicago Bulls
New York Knicks,Cleveland Cavaliers
Minnesota Timberwolves,Dallas Mavericks
Miami Heat,Detroit Pistons
Portland Trail Blazers,Golden State Warriors
Milwaukee Bucks,Houston Rockets
Los Angeles Clippers,Los Angeles Lakers
New Orleans Pelicans,Oklahoma City Thunder
Brooklyn Nets,Philadelphia 76ers
Denver Nuggets,Sacramento Kings
Atlanta Hawks,San Antonio Spurs
Toronto Raptors,Utah Jazz
Charlotte Hornets,Washington Wizards
Memphis Grizzlies,Los Angeles Clippers
Boston Celtics,Orlando Magic
Indiana Pacers,Boston Celtics
Milwaukee Bucks,Chicago Bulls
Brooklyn Nets,Cleveland Cavaliers
Utah Jazz,Dallas Mavericks
Toronto Raptors,Denver Nuggets
Atlanta Hawks,Detroit Pistons
Oklahoma City Thunder,Golden State Warriors
Washington Wizards,Houston Rockets
New York Knicks,Miami Heat
San Antonio Spurs,Minnesota Timberwolves
Orlando Magic,New Orleans Pelicans
Charlotte Hornets,Philadelphia 76ers
Phoenix Suns,Portland Trail Blazers
Washington Wizards,Charlotte Hornets
New York Knicks,Houston Rockets
Los Angeles Lakers,Milwaukee Bucks
Detroit Pistons,Philadelphia 76ers
Memphis Grizzlies,Phoenix Suns
Sacramento Kings,Utah Jazz
Cleveland Cavaliers,Boston Celtics
San Antonio Spurs,Dallas Mavericks
Los Angeles Clippers,Denver Nuggets
Chicago Bulls,Miami Heat
Los Angeles Lakers,Minnesota Timberwolves
Toronto Raptors,Brooklyn Nets
Atlanta Hawks,New Orleans Pelicans
Indiana Pacers,Orlando Magic
Minnesota Timberwolves,Houston Rockets
Oklahoma City Thunder,Los Angeles Clippers
San Antonio Spurs,Memphis Grizzlies
New Orleans Pelicans,Miami Heat
Detroit Pistons,Milwaukee Bucks
Orlando Magic,Philadelphia 76ers
Dallas Mavericks,Phoenix Suns
Portland Trail Blazers,Utah Jazz
Chicago Bulls,Washington Wizards
Boston Celtics,Cleveland Cavaliers
Sacramento Kings,Golden State Warriors
Brooklyn Nets,Indiana Pacers
Charlotte Hornets,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Detroit Pistons,New York Knicks
Atlanta Hawks,Toronto Raptors
Toronto Raptors,Boston Celtics
Oklahoma City Thunder,Dallas Mavericks
Miami Heat,Milwaukee Bucks
Indiana Pacers,Minnesota Timberwolves
Detroit Pistons,Brooklyn Nets
Phoenix Suns,New Orleans Pelicans
Washington Wizards,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Charlotte Hornets,Portland Trail Blazers
Houston Rockets,San Antonio Spurs
Los Angeles Clippers,Utah Jazz
Memphis Grizzlies,Atlanta Hawks
Utah Jazz,Golden State Warriors
Denver Nuggets,Los Angeles Clippers
Chicago Bulls,New York Knicks
Portland Trail Blazers,Sacramento Kings
New Orleans Pelicans,San Antonio Spurs
New York Knicks,Boston Celtics
Indiana Pacers,Dallas Mavericks
Los Angeles Lakers,Denver Nuggets
Milwaukee Bucks,Detroit Pistons
Phoenix Suns,Houston Rockets
Minnesota Timberwolves,Brooklyn Nets
Memphis Grizzlies,Oklahoma City Thunder
Cleveland Cavaliers,Orlando Magic
Miami Heat,Philadelphia 76ers
Washington Wizards,Toronto Raptors
Philadelphia 76ers,Atlanta Hawks
Dallas Mavericks,Cleveland Cavaliers
New Orleans Pelicans,Detroit Pistons
Orlando Magic,Indiana Pacers
Chicago Bulls,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves
Brooklyn Nets,New York Knicks
Charlotte Hornets,Phoenix Suns
Denver Nuggets,Portland Trail Blazers
Golden State Warriors,Sacramento Kings
Oklahoma City Thunder,San Antonio Spurs
Los Angeles Lakers,Utah Jazz
Los Angeles Clippers,Washington Wizards
Memphis Grizzlies,Boston Celtics
Toronto Raptors,Miami Heat
Phoenix Suns,Atlanta Hawks
Houston Rockets,Denver Nuggets
San Antonio Spurs,Memphis Grizzlies
Chicago Bulls,Brooklyn Nets
Sacramento Kings,New Orleans Pelicans
Utah Jazz,New York Knicks
Los Angeles Clippers,Orlando Magic
Los Angeles Lakers,Philadelphia 76ers
Oklahoma City Thunder,Portland Trail Blazers
Toronto Raptors,Washington Wizards
Charlotte Hornets,Boston Celtics
Oklahoma City Thunder,Golden State Warriors
Utah Jazz,Indiana Pacers
Cleveland Cavaliers,Miami Heat
Phoenix Suns,Milwaukee Bucks
Sacramento Kings,Minnesota Timberwolves
Indiana Pacers,Atlanta Hawks
Los Angeles Clippers,Cleveland Cavaliers
Dallas Mavericks,Denver Nuggets
Minnesota Timberwolves,Memphis Grizzlies
Detroit Pistons,Brooklyn Nets
Chicago Bulls,New Orleans Pelicans
Miami Heat,Orlando Magic
San Antonio Spurs,Philadelphia 76ers
Houston Rockets,Portland Trail Blazers
Milwaukee Bucks,Toronto Raptors
New York Knicks,Washington Wizards
Los Angeles Lakers,Boston Celtics
Golden State Warriors,Denver Nuggets
Houston Rockets,Phoenix Suns
Oklahoma City Thunder,Sacramento Kings
Chicago Bulls,Charlotte Hornets
Milwaukee Bucks,Cleveland Cavaliers
Brooklyn Nets,Detroit Pistons
Indiana Pacers,Memphis Grizzlies
Dallas Mavericks,Minnesota Timberwolves
Portland Trail Blazers,New Orleans Pelicans
Los Angeles Lakers,New York Knicks
Atlanta Hawks,Orlando Magic
Los Angeles Clippers,Philadelphia 76ers
Boston Celtics,Toronto Raptors
Oklahoma City Thunder,Utah Jazz
Miami Heat,Washington Wizards
Los Angeles Clippers,Charlotte Hornets
Philadelphia 76ers,Cleveland Cavaliers
Portland Trail Blazers,Dallas Mavericks
Denver Nuggets,Indiana Pacers
Orlando Magic,Milwaukee Bucks
New York Knicks,Minnesota Timberwolves
San Antonio Spurs,Brooklyn Nets
Phoenix Suns,Sacramento Kings
Miami Heat,Atlanta Hawks
Chicago Bulls,Boston Celtics
Washington Wizards,Detroit Pistons
Houston Rockets,Golden State Warriors
Utah Jazz,Memphis Grizzlies
Los Angeles Lakers,Toronto Raptors
Philadelphia 76ers,Charlotte Hornets
Los Angeles Clippers,Dallas Mavericks
Phoenix Suns,Golden State Warriors
Miami Heat,Milwaukee Bucks
Utah Jazz,New Orleans Pelicans
Minnesota Timberwolves,Orlando Magic
Sacramento Kings,Chicago Bulls
Phoenix Suns,Denver Nuggets
San Antonio Spurs,Detroit Pistons
Miami Heat,Indiana Pacers
Atlanta Hawks,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
Utah Jazz,Oklahoma City Thunder
Washington Wizards,Portland Trail Blazers
New York Knicks,Toronto Raptors
Detroit Pistons,Boston Celtics
Indiana Pacers,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Portland Trail Blazers,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Washington Wizards,Los Angeles Clippers
New Orleans Pelicans,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves
Memphis Grizzlies,Brooklyn Nets
Sacramento Kings,New York Knicks
Philadelphia 76ers,Orlando Magic
Atlanta Hawks,Phoenix Suns
San Antonio Spurs,Toronto Raptors
Boston Celtics,Chicago Bulls
Brooklyn Nets,Indiana Pacers
Los Angeles Clippers,Portland Trail Blazers
Miami Heat,Cleveland Cavaliers
Sacramento Kings,Detroit Pistons
Minnesota Timberwolves,Houston Rockets
Phoenix Suns,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
New Orleans Pelicans,New York Knicks
Golden State Warriors,Oklahoma City Thunder
Milwaukee Bucks,Orlando Magic
Dallas Mavericks,Philadelphia 76ers
Charlotte Hornets,Toronto Raptors
Washington Wizards,Utah Jazz
Brooklyn Nets,Chicago Bulls
San Antonio Spurs,Los Angeles Clippers
Golden State Warriors,Memphis Grizzlies
Atlanta Hawks,Portland Trail Blazers
Sacramento Kings,Cleveland Cavaliers
Boston Celtics,Detroit Pistons
Utah Jazz,Houston Rockets
Charlotte Hornets,Indiana Pacers
Orlando Magic,Miami Heat
Philadelphia 76ers,Minnesota Timberwolves
Milwaukee Bucks,Brooklyn Nets
Dallas Mavericks,New York Knicks
Denver Nuggets,Oklahoma City Thunder
Los Angeles Lakers,Phoenix Suns
Atlanta Hawks,Chicago Bulls
Boston Celtics,Dallas Mavericks
Minnesota Timberwolves,Denver Nuggets
Los Angeles Clippers,Golden State Warriors
Memphis Grizzlies,Houston Rockets
Portland Trail Blazers,Los Angeles Lakers
Orlando Magic,Milwaukee Bucks
Brooklyn Nets,New York Knicks
New Orleans Pelicans,Oklahoma City Thunder
Washington Wizards,Phoenix Suns
San Antonio Spurs,Utah Jazz
Detroit Pistons,Cleveland Cavaliers
New Orleans Pelicans,Indiana Pacers
Philadelphia 76ers,Memphis Grizzlies
Sacramento Kings,Miami Heat
San Antonio Spurs,Portland Trail Blazers
Indiana Pacers,Charlotte Hornets
Milwaukee Bucks,Chicago Bulls
New Orleans Pelicans,Cleveland Cavaliers
Los Angeles Lakers,Dallas Mavericks
Philadelphia 76ers,Houston Rockets
Denver Nuggets,Los Angeles Clippers
Utah Jazz,Minnesota Timberwolves
Orlando Magic,Brooklyn Nets
Atlanta Hawks,New York Knicks
Boston Celtics,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Detroit Pistons,Toronto Raptors
Sacramento Kings,Washington Wizards
Orlando Magic,Atlanta Hawks
San Antonio Spurs,Denver Nuggets
New York Knicks,Miami Heat
Los Angeles Lakers,Oklahoma City Thunder
New Orleans Pelicans,Chicago Bulls
Boston Celtics,Cleveland Cavaliers
Brooklyn Nets,Dallas Mavericks
Philadelphia 76ers,Detroit Pistons
Toronto Raptors,Houston Rockets
Golden State Warriors,Indiana Pacers
Minnesota Timberwolves,Los Angeles Clippers
Washington Wizards,Milwaukee Bucks
Utah Jazz,Sacramento Kings
Golden State Warriors,Atlanta Hawks
Milwaukee Bucks,Boston Celtics
Portland Trail Blazers,Denver Nuggets
Charlotte Hornets,Detroit Pistons
Minnesota Timberwolves,Los Angeles Lakers
Dallas Mavericks,Memphis Grizzlies
Toronto Raptors,New Orleans Pelicans
Cleveland Cavaliers,New York Knicks
Oklahoma City Thunder,Philadelphia 76ers
Chicago Bulls,San Antonio Spurs
Houston Rockets,Utah Jazz
Orlando Magic,Washington Wizards
Oklahoma City Thunder,Orlando Magic
Minnesota Timberwolves,Phoenix Suns
Miami Heat,Portland Trail Blazers
Los Angeles Clippers,Sacramento Kings
Milwaukee Bucks,Atlanta Hawks
Brooklyn Nets,Boston Celtics
Chicago Bulls,Cleveland Cavaliers
Denver Nuggets,Houston Rockets
Sacramento Kings,Los Angeles Lakers
Dallas Mavericks,New Orleans Pelicans
Golden State Warriors,Philadelphia 76ers
Los Angeles Clippers,Phoenix Suns
