Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Houston Rockets*,29.8,65,16,61,20,8.74,-0.19,8.55,115.0,106.1,97.6,.300,.502,.591,.552,12.7,21.3,.235,.521,13.4,79.9,.171,Toyota Center,732722,17871
2,Toronto Raptors*,25.8,59,22,60,21,7.96,-0.50,7.46,113.9,105.8,97.4,.250,.378,.576,.540,12.1,23.1,.199,.501,13.1,77.9,.214,Air Canada Centre,813431,19840
3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.7,99.6,.239,.339,.603,.569,14.1,21.0,.195,.504,12.6,76.3,.186,Oracle Arena,803436,19596
4,Utah Jazz*,26.7,48,33,53,28,4.47,0.14,4.61,108.6,103.9,95.7,.260,.358,.565,.529,13.7,21.4,.202,.506,14.0,79.7,.191,Vivint Smart Home Arena,734806,17922
5,Philadelphia 76ers*,25.8,51,30,51,30,4.12,-0.18,3.94,109.3,105.2,99.7,.265,.344,.568,.535,14.7,25.2,.199,.492,12.6,78.5,.219,Wells Fargo Center,812844,20353
6,Oklahoma City Thunder*,27.3,47,34,49,32,3.28,0.08,3.36,110.4,107.0,96.6,.274,.343,.545,.512,12.4,27.8,.196,.525,14.7,77.3,.193,Chesapeake Energy Arena,728119,18203
7,San Antonio Spurs*,29.3,47,34,49,32,3.22,-0.03,3.20,108.0,104.6,94.9,.246,.283,.544,.508,12.2,23.7,.189,.506,13.2,78.7,.170,AT&T Center,754562,18404
8,Boston Celtics*,24.7,54,27,50,31,3.47,-0.30,3.17,107.6,104.0,96.0,.245,.359,.553,.518,13.0,21.2,.189,.495,13.0,78.4,.192,TD Garden,744960,18624
9,Portland Trail Blazers*,25.6,48,33,47,34,2.52,-0.05,2.47,109.1,106.5,96.5,.241,.324,.549,.511,12.4,23.4,.193,.504,11.7,79.2,.193,Moda Center,775564,19389
10,Minnesota Timberwolves,27.1,46,35,46,35,2.19,0.10,2.29,113.4,111.1,96.1,.280,.261,.566,.523,11.4,24.5,.226,.539,13.9,76.4,.190,Target Center,680330,17008
11,Denver Nuggets,25.1,46,35,45,36,1.57,0.07,1.63,112.5,110.9,96.9,.259,.357,.571,.536,13.4,25.7,.199,.539,12.7,77.4,.173,Pepsi Center,702796,17141
12,Indiana Pacers*,26.2,48,34,45,37,1.38,-0.19,1.19,109.5,108.1,96.0,.222,.284,.557,.525,12.3,22.7,.173,.527,14.2,76.3,.174,Bankers Life Fieldhouse,658119,16052
13,New Orleans Pelicans*,27.6,47,34,43,38,1.02,0.16,1.18,109.5,108.5,100.5,.237,.321,.572,.540,13.2,19.9,.183,.514,12.5,76.7,.175,Smoothie King Center,655347,16384
14,Cleveland Cavaliers*,30.6,50,31,43,38,1.10,-0.31,0.79,113.0,111.9,98.0,.274,.381,.585,.549,12.6,19.8,.214,.539,12.2,77.2,.166,Quicken Loans Arena,822480,20562
15,Washington Wizards*,26.9,43,38,42,39,0.70,0.00,0.70,109.5,108.8,96.6,.254,.309,.562,.526,13.3,23.3,.197,.522,13.6,77.0,.212,Capital One Arena,739302,18032
16,Los Angeles Clippers,27.0,42,39,41,40,0.22,0.13,0.35,110.4,110.2,98.7,.299,.315,.564,.527,13.2,23.6,.223,.519,12.6,76.0,.203,STAPLES Center,678744,16969
17,Charlotte Hornets,26.6,36,46,42,40,0.26,-0.18,0.07,109.4,109.1,98.4,.312,.314,.549,.508,11.4,22.2,.233,.532,12.4,80.7,.165,Spectrum Center,671404,16376
18,Miami Heat*,26.5,43,38,42,39,0.40,-0.42,-0.02,106.7,106.3,95.6,.229,.360,.551,.520,13.4,21.3,.174,.507,13.1,79.0,.215,AmericanAirlines Arena,785250,19631
19,Milwaukee Bucks*,25.9,44,37,41,40,0.12,-0.21,-0.09,110.0,109.9,96.1,.283,.298,.572,.532,12.9,20.4,.221,.527,14.3,76.1,.222,BMO Harris Bradley Center,685303,16856
20,Detroit Pistons,25.9,38,43,39,42,-0.54,-0.01,-0.55,107.0,107.5,96.2,.229,.332,.541,.511,12.3,22.7,.170,.525,13.6,78.5,.172,Little Caesars Arena,713945,17413
21,Los Angeles Lakers,23.7,34,47,36,45,-1.75,0.13,-1.63,106.4,108.1,100.3,.265,.328,.547,.517,13.8,23.6,.189,.514,12.5,77.6,.191,STAPLES Center,776327,18935
22,Dallas Mavericks,27.7,24,58,33,49,-3.04,0.34,-2.70,106.3,109.5,95.6,.217,.382,.544,.513,11.6,18.0,.166,.532,12.9,78.9,.193,American Airlines Center,811453,19792
23,Brooklyn Nets,25.1,28,53,31,50,-3.63,0.03,-3.60,107.0,110.6,98.8,.261,.411,.552,.515,13.6,21.0,.202,.517,11.0,77.2,.202,Barclays Center,640010,15376
24,New York Knicks,26.4,28,53,31,50,-3.75,0.04,-3.72,107.0,110.8,96.8,.217,.266,.543,.510,13.3,24.1,.171,.523,12.1,76.8,.208,Madison Square Garden (IV),792608,19332
25,Orlando Magic,25.6,24,57,28,53,-4.99,-0.09,-5.08,105.2,110.3,98.1,.237,.341,.545,.512,13.3,20.0,.179,.526,12.8,75.8,.188,Amway Center,716933,17923
26,Atlanta Hawks,25.4,24,58,27,55,-5.45,0.15,-5.30,105.0,110.6,98.3,.236,.363,.547,.512,14.1,21.0,.185,.536,13.6,76.2,.183,Philips Arena,590769,14409
27,Memphis Grizzlies,26.0,22,59,24,57,-6.11,0.36,-5.75,104.3,110.8,94.8,.255,.317,.538,.499,14.0,22.4,.200,.527,13.8,76.4,.256,FedEx Forum,653863,15948
28,Chicago Bulls,24.4,27,54,24,57,-6.73,0.20,-6.53,103.9,110.7,98.3,.216,.349,.530,.498,12.5,20.5,.164,.541,12.4,80.6,.185,United Center,830482,20762
29,Sacramento Kings,26.3,26,55,22,59,-7.23,0.31,-6.93,103.7,111.3,94.9,.193,.278,.528,.502,12.8,21.5,.142,.543,13.5,77.5,.201,Golden 1 Center,650571,16264
30,Phoenix Suns,23.7,21,61,19,63,-9.37,0.58,-8.79,103.5,112.8,100.3,.275,.320,.532,.495,13.9,22.5,.203,.533,11.9,76.4,.212,Talking Stick Resort Arena,690576,16843
,League Average,26.6,,,41,41,0.00,0.00,0.00,108.6,108.6,97.3,.252,.337,.556,.521,13.0,22.3,.194,.521,13.0,77.7,.194,,728235,17938